station_id	name	altitude	lat	lon	country
5710001	Rio Maipo En El Manzano	850	-33.59389877	-70.3792038	Chile
5703009	Laguna Negra	2780	-33.66579819	-70.10780334	Chile
5711003	Pirque	659	-33.67359924	-70.5868988	Chile
5703008	El Yeso Embalse	2475	-33.67670059	-70.08860016	Chile
5740005	Melipilla	168	-33.68030167	-71.1996994	Chile
5702011	Glaciar San Franciscoen Aguas Panimavida	2220	-33.80530167	-70.06999969	Chile
5702001	Rio Volcan En Queltehues	1365	-33.80559921	-70.20890045	Chile
5701008	Queltehues	1450	-33.81639862	-70.21720123	Chile
5701005	Las Melosas	1527	-33.8993988	-70.19809723	Chile
6011001	Estero De La Cadena Antes Junta Rio Cachapoal	440	-34.18420029	-70.84359741	Chile
6003001	Rio Cachapoal 5 Km. Aguas Abajo Junta Cortaderal	1127	-34.34640121	-70.37640381	Chile
6000003	Rio Las Leas Ante Junta Rio Cachapoal	1296	-34.3628006	-70.30560303	Chile
6000004	Laguna El Yeso	2140	-34.40779877	-70.20999908	Chile
6015003	Rengo	310	-34.42169952	-70.86669922	Chile
6013005	Popeta	480	-34.43690109	-70.77940369	Chile
6013001	Rio Claro En Hacienda Las Nieves	720	-34.49219894	-70.70279694	Chile
6013008	Laguna Los Cristales	2343	-34.56060028	-70.50969696	Chile
6028001	Rio Tinguiririca Bajo Los Briones	560	-34.71860123	-70.8266983	Chile
7120002	Laguna De Torca	28	-34.76750183	-72.06500244	Chile
6034003	Convento Viejo	239	-34.76940155	-71.13310242	Chile
7118003	Curico	195	-34.98109818	-71.23609924	Chile
7116005	Potrero Grande	445	-35.18330002	-71.09780121	Chile
7384002	Constitucion	10	-35.32419968	-72.4088974	Chile
7381003	Pencahue	55	-35.37250137	-71.83249664	Chile
7381002	Fundo El Peral	110	-35.40060043	-71.78330231	Chile
7378004	Talca	110	-35.41939926	-71.66059875	Chile
7378002	Talca U.C.	130	-35.43579865	-71.61969757	Chile
7379002	Rio Claro En Rauquen	64	-35.45249939	-71.73329926	Chile
7378003	Colorado	420	-35.63809967	-71.26059723	Chile
7320003	Rio Claro En San Carlos	550	-35.69889832	-71.06829834	Chile
7320002	Armerillo	492	-35.7010994	-71.07720184	Chile
